Year,Player,Team,Games,PA,SB,ISO,Babip,CS,Spd,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone
2015.0,Marcus Semien,Athletics,155.0,601.0,11.0,0.147,0.312,5.0,5.5,0.98,23.1,38.1,38.8,8.5,9.1,9.9,0.0,42.0,33.3,24.6,16.7,54.2,29.1,25.3,63.5,43.8,59.2,88.0,79.4,48.3
2016.0,Marcus Semien,Athletics,159.0,621.0,10.0,0.197,0.268,2.0,4.4,0.92,17.7,39.4,42.9,6.5,14.7,7.1,0.0,42.5,35.5,22.0,16.5,55.0,28.5,27.3,66.4,45.6,64.3,84.6,78.1,46.8
2017.0,Marcus Semien,Athletics,85.0,386.0,12.0,0.149,0.3,1.0,5.8,0.89,20.5,37.5,42.1,10.1,9.2,7.2,0.0,43.3,33.7,23.0,16.5,53.3,30.3,26.0,67.5,44.7,59.0,85.3,76.9,45.1
2018.0,Marcus Semien,Athletics,159.0,703.0,14.0,0.133,0.296,6.0,4.7,1.03,22.8,39.2,38.0,11.4,7.8,9.5,0.0,46.7,30.6,22.7,18.4,49.0,32.5,26.2,67.1,43.8,67.2,88.3,81.1,43.0
2019.0,Marcus Semien,Athletics,162.0,747.0,10.0,0.237,0.294,8.0,5.1,1.06,20.0,41.1,38.9,8.8,15.3,6.1,0.0,44.1,31.5,24.5,14.9,43.2,41.9,23.1,68.7,42.1,68.3,89.7,82.9,41.8
2015.0,Robinson Canó,Mariners,156.0,674.0,2.0,0.159,0.316,6.0,2.3,1.99,24.2,50.5,25.3,4.5,15.9,3.4,0.0,36.3,41.1,22.6,16.5,51.1,32.4,32.4,73.2,50.1,69.1,90.4,82.6,43.4
2016.0,Robinson Canó,Mariners,161.0,715.0,0.0,0.235,0.299,1.0,2.2,1.27,18.0,45.9,36.1,8.9,19.3,4.3,0.0,38.9,35.2,25.9,17.9,46.6,35.5,37.3,71.4,51.4,71.2,93.2,83.8,41.5
2017.0,Robinson Canó,Mariners,150.0,648.0,1.0,0.172,0.294,0.0,2.0,1.63,19.4,50.0,30.6,4.5,14.7,2.0,0.0,39.4,35.7,24.9,12.7,50.4,36.9,34.9,73.3,52.0,70.8,90.6,83.2,44.6
2018.0,Robinson Canó,Mariners,80.0,348.0,0.0,0.168,0.329,0.0,1.3,1.63,22.6,47.9,29.4,6.4,12.8,5.5,0.0,34.7,37.0,28.3,11.3,47.2,41.5,33.4,68.3,47.7,69.0,92.3,82.6,40.9
2019.0,Robinson Canó,Mets,107.0,423.0,0.0,0.172,0.28,0.0,1.4,1.58,20.1,48.9,31.0,6.0,13.0,4.4,0.0,34.9,37.7,27.5,17.6,44.4,38.0,38.2,75.8,53.4,71.6,90.9,82.7,40.3
2015.0,DJ LeMahieu,Rockies,150.0,620.0,23.0,0.087,0.362,3.0,6.4,2.8,26.0,54.5,19.5,1.1,6.7,4.8,40.0,21.2,39.8,39.0,12.1,61.3,26.6,24.8,63.5,43.4,72.5,90.6,85.2,48.1
2016.0,DJ LeMahieu,Rockies,146.0,635.0,11.0,0.147,0.388,7.0,5.6,2.22,26.6,50.6,22.8,10.2,10.2,4.6,33.3,21.8,40.3,37.9,13.2,51.6,35.2,23.9,60.9,41.9,79.4,94.7,90.2,48.6
2017.0,DJ LeMahieu,Rockies,155.0,682.0,6.0,0.099,0.351,5.0,3.9,2.82,24.7,55.6,19.7,5.8,7.8,3.4,20.0,21.6,40.0,38.3,15.4,54.1,30.6,23.8,59.3,41.3,79.9,93.5,89.5,49.3
2018.0,DJ LeMahieu,Rockies,128.0,581.0,6.0,0.152,0.298,5.0,4.4,1.68,21.0,49.6,29.5,3.0,11.1,6.2,0.0,29.8,40.7,29.6,16.3,48.7,35.0,26.0,60.1,41.7,72.7,95.0,87.5,46.0
2019.0,DJ LeMahieu,Yankees,145.0,655.0,5.0,0.191,0.349,2.0,4.0,1.91,23.7,50.1,26.2,5.2,19.3,8.5,0.0,27.9,38.5,33.7,14.3,45.3,40.4,30.2,65.9,45.6,75.0,91.8,85.5,43.0
2015.0,Didi Gregorius,Yankees,155.0,578.0,5.0,0.105,0.297,3.0,3.5,1.31,21.2,44.7,34.1,9.3,6.0,6.6,33.3,38.5,35.0,26.5,21.6,55.9,22.5,36.4,71.1,51.5,67.7,87.3,79.5,43.5
2016.0,Didi Gregorius,Yankees,153.0,597.0,7.0,0.171,0.29,1.0,4.3,0.99,19.6,40.1,40.3,10.9,10.4,6.3,45.5,37.6,33.1,29.4,19.6,55.9,24.5,40.1,74.8,55.4,71.7,90.6,82.9,44.0
2017.0,Didi Gregorius,Yankees,136.0,570.0,3.0,0.191,0.287,1.0,2.7,0.83,20.0,36.2,43.8,15.5,12.1,9.4,0.0,40.3,37.4,22.3,24.4,52.4,23.1,40.8,81.3,58.2,69.1,88.0,80.4,42.9
2018.0,Didi Gregorius,Yankees,134.0,569.0,10.0,0.226,0.259,6.0,5.5,0.93,19.5,38.9,41.6,12.0,14.8,4.1,80.0,40.4,36.9,22.7,22.5,41.6,36.0,36.2,74.7,51.5,71.0,90.3,82.1,39.7
2019.0,Didi Gregorius,Yankees,82.0,344.0,2.0,0.204,0.237,1.0,4.3,0.85,18.4,37.5,44.1,15.0,13.3,6.9,100.0,42.1,37.4,20.5,20.1,45.4,34.4,41.1,77.5,55.3,67.0,89.7,79.4,39.0
2015.0,Tommy Pham,Cardinals,52.0,173.0,2.0,0.209,0.333,0.0,6.8,1.87,21.2,51.3,27.4,3.2,16.1,6.9,0.0,30.1,43.4,26.5,23.0,38.9,38.1,27.3,59.6,41.3,56.7,87.4,75.9,43.4
2016.0,Tommy Pham,Cardinals,78.0,183.0,2.0,0.214,0.342,2.0,3.1,1.54,25.0,45.5,29.5,0.0,34.6,12.5,0.0,31.5,33.7,34.8,12.4,44.9,42.7,25.4,61.1,41.5,39.6,79.5,66.1,45.1
